"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-10","3.58",,,"64","45","  360","  350","14.1","23.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-11","1.12",,,"67","44","   90","  280","6.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-12","0.89",,,"74","43","  270","  260","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-13","1.57",,,"84","52","   10","   20","6.0","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-14","0.89",,,"80","53","  290","  270","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-15","0.89",,,"68","54","  110","  130","6.9","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-16","0.89",,,"71","56","   90","  270","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-17","3.13",,,"68","60","  100","  140","8.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-18","0.67",,,"70","57","  270","  280","8.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-19","0.67",,,"70","53","  280","  270","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-20","0.89",,,"72","50","  260","  250","6.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-21","0.22",,,"69","51","  140","  270","6.0","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-22","0.67",,,"73","53","  280","  280","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-23","0.67",,,"78","49","  260","  260","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-24","1.12",,,"86","49","  270","  270","8.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-25","0.67",,,"71","53","  260","  260","6.9","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-26","0.89",,,"68","53","  280","  230","6.0","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-27","0.45",,,"70","51","  270","  260","8.9","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-28","1.12",,,"68","56","   80","  100","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-29","2.91",,,"64","58","  100","  110","8.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-11-30","1.12",,,"66","61","  130","  120","6.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-01","0.45",,,"67","59","  280","  270","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-02","0.22",,,"66","59","  270","  270","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-03","2.01",,,"69","57","  100","  100","10.1","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-04","0.89",,,"68","55","  280","  280","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-05","0.22",,,"66","50","  100","  100","6.0","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-06","0.89",,,"68","54","  280","  270","6.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-07","0.67",,,"68","51","  270","  270","6.0","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-08","0.00",,,"67","50","  100","  130","6.0","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-09","0.45",,,"68","53","  270","  270","6.0","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-10","0.00",,,"74","49","  270","  270","6.0","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-11","0.45",,,"72","48","  270","  270","4.9","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-12","2.01",,,"62","55","  130","  170","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-13","0.00",,,"62","49","  270","  270","6.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-14","1.79",,,"59","43","  260","  270","8.1","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-15","1.34",,,"62","45","  270","  270","10.1","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-16","2.46",,,"55","52","   90","   70","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-17","0.67",,,"64","55","  270","  270","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-18","3.58",,,"63","54","  340","  340","10.1","23.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-19",,,,"63","45",,,"2.9",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-20","2.01",,,"67","41","  100","   70","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-21","1.12",,,"66","44","  270","  280","6.9","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-22","0.22",,,"63","42","  270","  270","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-23","0.45",,,"65","53","  280","  260","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-24","2.68",,,"64","49","  100","   90","10.1","15.0"
