,cds,county_code,district_code,school_code
187,16639820110205,16,63982,0110205
188,16639821635606,16,63982,1635606
189,16739321630953,16,73932,1630953
190,17640141734359,17,64014,1734359
191,17640301732304,17,64030,1732304
192,17640551736008,17,64055,1736008
193,17769761737006,17,76976,1737006
194,18641391833805,18,64139,1833805
195,18750361833409,18,75036,1833409
196,19101990109942,19,10199,0109942
197,19642121930056,19,64212,1930056
198,19642121930361,19,64212,1930361
199,19642121933159,19,64212,1933159
200,19642460100081,19,64246,0100081
201,19642460108407,19,64246,0108407
202,19642461930213,19,64246,1930213
203,19642461936624,19,64246,1936624
204,19642461937051,19,64246,1937051
205,19642461995398,19,64246,1995398
206,19642461995406,19,64246,1995406
207,19642461995844,19,64246,1995844
208,19642611930288,19,64261,1930288
209,19642791930528,19,64279,1930528
210,19642791933449,19,64279,1933449
211,19642871930601,19,64287,1930601
212,19642871938166,19,64287,1938166
213,19642951930700,19,64295,1930700
214,19643111930981,19,64311,1930981
215,19643291931088,19,64329,1931088
216,19643291937739,19,64329,1937739
217,19643371931187,19,64337,1931187
218,19643371931237,19,64337,1931237
219,19643521933951,19,64352,1933951
220,19643521934926,19,64352,1934926
221,19643521935048,19,64352,1935048
222,19643781931666,19,64378,1931666
223,19643941931823,19,64394,1931823
224,19644361932086,19,64436,1932086
225,19644361936418,19,64436,1936418
226,19644361938372,19,64436,1938372
227,19644441932201,19,64444,1932201
228,19644511932441,19,64451,1932441
229,19644511939164,19,64451,1939164
230,19644691932482,19,64469,1932482
231,19645191930320,19,64519,1930320
232,19645191932664,19,64519,1932664
233,19645191932680,19,64519,1932680
234,19645191937481,19,64519,1937481
235,19645191995661,19,64519,1995661
236,19645271932706,19,64527,1932706
237,19645351932763,19,64535,1932763
238,19645681932144,19,64568,1932144
239,19645681933530,19,64568,1933530
240,19645681934082,19,64568,1934082
241,19645681996131,19,64568,1996131
242,19645761933597,19,64576,1933597
243,19645920100354,19,64592,0100354
244,19646341934231,19,64634,1934231
245,19646341936046,19,64634,1936046
246,19646341996529,19,64634,1996529
247,19646341996586,19,64634,1996586
248,19646831930080,19,64683,1930080
249,19646831931781,19,64683,1931781
250,19646911996438,19,64691,1996438
251,19647090100602,19,64709,0100602
252,19647091996313,19,64709,1996313
253,19647250127381,19,64725,0127381
254,19647251934470,19,64725,1934470
255,19647251934678,19,64725,1934678
256,19647251935758,19,64725,1935758
257,19647251936947,19,64725,1936947
258,19647251939875,19,64725,1939875
259,19647251995539,19,64725,1995539
260,19647251995935,19,64725,1995935
261,19647330100677,19,64733,0100677
262,19647330100750,19,64733,0100750
263,19647330100800,19,64733,0100800
264,19647330101196,19,64733,0101196
265,19647330101659,19,64733,0101659
266,19647330101675,19,64733,0101675
267,19647330102434,19,64733,0102434
268,19647330102913,19,64733,0102913
269,19647330102921,19,64733,0102921
270,19647330106435,19,64733,0106435
271,19647330106831,19,64733,0106831
272,19647330106849,19,64733,0106849
273,19647330107003,19,64733,0107003
274,19647330107755,19,64733,0107755
275,19647330108878,19,64733,0108878
276,19647330108894,19,64733,0108894
277,19647330108936,19,64733,0108936
278,19647330109447,19,64733,0109447
279,19647330109454,19,64733,0109454
280,19647330109462,19,64733,0109462
281,19647330111492,19,64733,0111492
282,19647330111500,19,64733,0111500
283,19647330111575,19,64733,0111575
284,19647330111583,19,64733,0111583
285,19647330111625,19,64733,0111625
286,19647330111658,19,64733,0111658
287,19647330112029,19,64733,0112029
288,19647330112037,19,64733,0112037
289,19647330112045,19,64733,0112045
290,19647330112052,19,64733,0112052
291,19647330112508,19,64733,0112508
292,19647330112870,19,64733,0112870
293,19647330114850,19,64733,0114850
294,19647330115253,19,64733,0115253
295,19647330116509,19,64733,0116509
296,19647330117051,19,64733,0117051
297,19647330117069,19,64733,0117069
298,19647330117598,19,64733,0117598
299,19647330117606,19,64733,0117606
300,19647330117721,19,64733,0117721
301,19647330117747,19,64733,0117747
302,19647330117762,19,64733,0117762
303,19647330117911,19,64733,0117911
304,19647330118588,19,64733,0118588
305,19647330119651,19,64733,0119651
306,19647330119727,19,64733,0119727
307,19647330119966,19,64733,0119966
308,19647330120360,19,64733,0120360
309,19647330121285,19,64733,0121285
310,19647330121293,19,64733,0121293
311,19647330122333,19,64733,0122333
312,19647330122341,19,64733,0122341
313,19647330122358,19,64733,0122358
314,19647330122366,19,64733,0122366
315,19647330122374,19,64733,0122374
316,19647330122382,19,64733,0122382
317,19647330122606,19,64733,0122606
318,19647330123133,19,64733,0123133
319,19647330123141,19,64733,0123141
320,19647330124362,19,64733,0124362
321,19647330124370,19,64733,0124370
322,19647330124388,19,64733,0124388
323,19647330124396,19,64733,0124396
324,19647330124404,19,64733,0124404
325,19647330124412,19,64733,0124412
326,19647330124479,19,64733,0124479
327,19647330124487,19,64733,0124487
328,19647330124495,19,64733,0124495
329,19647330124503,19,64733,0124503
330,19647330124511,19,64733,0124511
331,19647330124560,19,64733,0124560
332,19647330124883,19,64733,0124883
333,19647330124891,19,64733,0124891
334,19647330124933,19,64733,0124933
335,19647330125864,19,64733,0125864
336,19647330125989,19,64733,0125989
337,19647330126136,19,64733,0126136
338,19647330126474,19,64733,0126474
339,19647330126482,19,64733,0126482
340,19647330126490,19,64733,0126490
341,19647330126508,19,64733,0126508
342,19647330126516,19,64733,0126516
343,19647330126524,19,64733,0126524
344,19647330126532,19,64733,0126532
345,19647330126540,19,64733,0126540
346,19647330126557,19,64733,0126557
347,19647330126573,19,64733,0126573
348,19647330126615,19,64733,0126615
349,19647330126623,19,64733,0126623
350,19647330127787,19,64733,0127787
351,19647330127795,19,64733,0127795
352,19647330127894,19,64733,0127894
353,19647330127910,19,64733,0127910
354,19647330129536,19,64733,0129536
355,19647330129627,19,64733,0129627
356,19647330130997,19,64733,0130997
357,19647331930650,19,64733,1930650
358,19647331930866,19,64733,1930866
359,19647331930924,19,64733,1930924
360,19647331931047,19,64733,1931047
361,19647331931476,19,64733,1931476
362,19647331931526,19,64733,1931526
363,19647331931708,19,64733,1931708
364,19647331931864,19,64733,1931864
365,19647331932128,19,64733,1932128
366,19647331932383,19,64733,1932383
367,19647331932623,19,64733,1932623
368,19647331932920,19,64733,1932920
369,19647331932987,19,64733,1932987
370,19647331933118,19,64733,1933118
371,19647331933241,19,64733,1933241
372,19647331933381,19,64733,1933381
373,19647331933746,19,64733,1933746
374,19647331933795,19,64733,1933795
375,19647331933852,19,64733,1933852
376,19647331934033,19,64733,1934033
377,19647331934157,19,64733,1934157
378,19647331934371,19,64733,1934371
379,19647331934454,19,64733,1934454
380,19647331935121,19,64733,1935121
381,19647331935352,19,64733,1935352
382,19647331935519,19,64733,1935519
383,19647331935568,19,64733,1935568
384,19647331935865,19,64733,1935865
385,19647331936160,19,64733,1936160
386,19647331936350,19,64733,1936350
387,19647331937226,19,64733,1937226
388,19647331937424,19,64733,1937424
389,19647331937622,19,64733,1937622
390,19647331937838,19,64733,1937838
391,19647331938307,19,64733,1938307
392,19647331938554,19,64733,1938554
393,19647331938612,19,64733,1938612
394,19647331938885,19,64733,1938885
395,19647331938968,19,64733,1938968
396,19647331939040,19,64733,1939040
397,19647331939107,19,64733,1939107
398,19647331939305,19,64733,1939305
399,19647331939479,19,64733,1939479
400,19647331939859,19,64733,1939859
401,19647331939941,19,64733,1939941
402,19647331995836,19,64733,1995836
403,19647740109538,19,64774,0109538
404,19647741935436,19,64774,1935436
405,19647901935923,19,64790,1935923
406,19648080124552,19,64808,0124552
407,19648081930155,19,64808,1930155
408,19648081930825,19,64808,1930825
409,19648081935998,19,64808,1935998
410,19648401933647,19,64840,1933647
411,19648401934728,19,64840,1934728
412,19648401936467,19,64840,1936467
413,19648651995588,19,64865,1995588
414,19648651996552,19,64865,1996552
415,19648731936749,19,64873,1936749
416,19648811936103,19,64881,1936103
417,19648811936822,19,64881,1936822
418,19649071933175,19,64907,1933175
419,19649071933324,19,64907,1933324
420,19649071937028,19,64907,1937028
421,19649071995901,19,64907,1995901
422,19649641937754,19,64964,1937754
423,19649801938000,19,64980,1938000
424,19650291938455,19,65029,1938455
425,19650521938679,19,65052,1938679
426,19650601936277,19,65060,1936277
427,19650601938356,19,65060,1938356
428,19650601938752,19,65060,1938752
429,19650601939602,19,65060,1939602
430,19650940122432,19,65094,0122432
431,19650941939537,19,65094,1939537
432,19651281931302,19,65128,1931302
433,19651281934868,19,65128,1934868
434,19651281936889,19,65128,1936889
435,19651281937903,19,65128,1937903
436,19651281939701,19,65128,1939701
437,19651360102459,19,65136,0102459
438,19651360102475,19,65136,0102475
439,19651361931492,19,65136,1931492
440,19651361931740,19,65136,1931740
441,19651361933902,19,65136,1933902
442,19651361995802,19,65136,1995802
443,19651361996321,19,65136,1996321
444,19734371931567,19,73437,1931567
445,19734371931963,19,73437,1931963
446,19734371932326,19,73437,1932326
447,19734451934801,19,73445,1934801
448,19734451935246,19,73445,1935246
449,19734451939834,19,73445,1939834
450,19734451939925,19,73445,1939925
451,19734521936228,19,73452,1936228
452,19734521937564,19,73452,1937564
453,19734601932862,19,73460,1932862
454,19734601939149,19,73460,1939149
455,19752911995810,19,75291,1995810
456,19753091995786,19,75309,1995786
457,19753331935808,19,75333,1935808
458,19753411937143,19,75341,1937143
459,19757131930163,19,75713,1930163
460,19757131934553,19,75713,1934553
461,19757131937697,19,75713,1937697
462,19768690119016,19,76869,0119016
